Order ID,Product Name,Discount,sales,profit,Quantity,Category,Sub-Category,Country,Order Date,Ship Date,Ship Mode
BN-2011-9336144,"Fellowes File Cart, Industrial",0.1,248,8,2,Office Supplies,Storage,Germany,2/2/2011,2/2/2011,Immediate
BN-2011-9336144,"Brother Wireless Fax, Laser",0,379,140,1,Technology,Copiers,Germany,2/2/2011,2/2/2011,Immediate
AZ-2011-4614904,"Boston Highlighters, Water Color",0,44,8,2,Office Supplies,Art,Spain,2/2/2011,2/4/2011,Priority
AZ-2011-4696725,"Cisco Headset, Full Size",0.1,162,43,2,Technology,Phones,United Kingdom,2/2/2011,2/4/2011,Priority
AZ-2011-838467,"Xerox Note Cards, Premium",0.5,13,-8,1,Office Supplies,Paper,Germany,2/2/2011,2/5/2011,Priority
AZ-2011-838467,"HP Fax and Copier, Digital",0.5,86,0,1,Technology,Copiers,Germany,2/2/2011,2/5/2011,Priority
AZ-2011-838467,"Motorola Signal Booster, Cordless",0.5,584,-59,8,Technology,Phones,Germany,2/2/2011,2/5/2011,Priority
BN-2011-2468159,"SanDisk Memo Slips, Multicolor",0.5,46,-41,5,Office Supplies,Paper,France,2/2/2011,2/6/2011,Economy
AZ-2011-4987681,"Acme Box Cutter, High Speed",0,38,18,1,Office Supplies,Supplies,Spain,2/2/2011,2/6/2011,Economy Plus
BN-2011-2468159,"Logitech Numeric Keypad, Erganomic",0.5,44,-8,2,Technology,Accessories,France,2/2/2011,2/6/2011,Economy
BN-2011-2468159,"Hewlett Copy Machine, Color",0.65,550,-236,6,Technology,Copiers,France,2/2/2011,2/6/2011,Economy
BN-2011-2468159,"Konica Phone, White",0.65,89,-76,3,Technology,Machines,France,2/2/2011,2/6/2011,Economy
AZ-2011-4987681,"Cisco Smart Phone, Full Size",0.1,587,104,1,Technology,Phones,Spain,2/2/2011,2/6/2011,Economy Plus
AZ-2011-7043718,"Ikea Library with Doors, Pine",0,729,241,2,Furniture,Bookcases,Spain,2/2/2011,2/7/2011,Economy Plus
AZ-2011-7043718,"SAFCO Steel Folding Chair, Black",0.2,266,23,4,Furniture,Chairs,Spain,2/2/2011,2/7/2011,Economy Plus
AZ-2011-7043718,"BIC Canvas, Water Color",0,57,1,1,Office Supplies,Art,Spain,2/2/2011,2/7/2011,Economy Plus
AZ-2011-7043718,"Sanford Pencil Sharpener, Water Color",0,116,13,4,Office Supplies,Art,Spain,2/2/2011,2/7/2011,Economy Plus
BN-2011-7087921,"Boston Pencil Sharpener, Easy-Erase",0.5,91,-62,6,Office Supplies,Art,Sweden,2/3/2011,2/5/2011,Economy Plus
AZ-2011-6835828,"Tenex Shelving, Industrial",0.1,149,15,3,Office Supplies,Storage,France,2/4/2011,2/8/2011,Economy
AZ-2011-2397035,"Stanley Pencil Sharpener, Water Color",0,112,4,4,Office Supplies,Art,France,2/7/2011,2/11/2011,Economy
AZ-2011-2397035,"Avery Binder Covers, Durable",0,50,6,4,Office Supplies,Binders,France,2/7/2011,2/11/2011,Economy
AZ-2011-2397035,"Konica Receipt Printer, Wireless",0.15,208,12,2,Technology,Machines,France,2/7/2011,2/11/2011,Economy
AZ-2011-9421435,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0,31,11,3,Office Supplies,Labels,France,2/7/2011,2/12/2011,Economy
AZ-2011-2956456,"Stockwell Clamps, 12 Pack",0,110,22,6,Office Supplies,Fasteners,Italy,2/8/2011,2/13/2011,Economy
AZ-2011-2606042,"Binney & Smith Pencil Sharpener, Fluorescent",0,133,5,5,Office Supplies,Art,Germany,2/9/2011,2/9/2011,Immediate
AZ-2011-2606042,"Cardinal Binder Covers, Clear",0,80,21,7,Office Supplies,Binders,Germany,2/9/2011,2/9/2011,Immediate
AZ-2011-5195846,"Advantus Frame, Duo Pack",0.2,267,90,3,Furniture,Furnishings,Netherlands,2/9/2011,2/13/2011,Economy
AZ-2011-5195846,"GlobeWeis Manila Envelope, Set of 50",0.5,55,-19,4,Office Supplies,Envelopes,Netherlands,2/9/2011,2/13/2011,Economy
AZ-2011-5195846,"Rogers Trays, Wire Frame",0.5,91,-2,3,Office Supplies,Storage,Netherlands,2/9/2011,2/13/2011,Economy
AZ-2011-9107304,"Ikea Corner Shelving, Metal",0,368,15,3,Furniture,Bookcases,Spain,2/9/2011,2/14/2011,Economy
